district_code,fuel_id,reg_year,total_amount
11320,4,2025,214
11320,5,2025,6381
11320,6,2025,2019
11320,7,2025,50
11350,1,2025,77598
11350,2,2025,42874
11350,3,2025,14458
11350,4,2025,525
11350,5,2025,12040
11350,6,2025,2875
11350,7,2025,89
11380,1,2025,69860
11380,2,2025,38611
11380,3,2025,11216
11380,4,2025,512
11380,5,2025,10458
11380,6,2025,2797
11380,7,2025,132
11410,1,2025,47649
11410,2,2025,26088
11410,3,2025,6579
11410,4,2025,198
11410,5,2025,8162
11410,6,2025,2095
11410,7,2025,108
11440,1,2025,63759
11440,2,2025,35550
11440,3,2025,6607
11440,4,2025,175
11440,5,2025,11427
11440,6,2025,3034
11440,7,2025,188
11470,1,2025,77757
11470,2,2025,43374
11470,3,2025,12106
11470,4,2025,516
11470,5,2025,12850
11470,6,2025,2948
11470,7,2025,130
11500,1,2025,102494
11500,2,2025,60522
11500,3,2025,17454
11500,4,2025,272
11500,5,2025,16275
11500,6,2025,4529
11500,7,2025,266
11530,1,2025,69459
11530,2,2025,46529
11530,3,2025,11323
11530,4,2025,294
11530,5,2025,11252
11530,6,2025,5721
11530,7,2025,110
11545,1,2025,42437
11545,2,2025,31878
11545,3,2025,6642
11545,4,2025,362
11545,5,2025,7103
11545,6,2025,1704
11545,7,2025,72
11560,1,2025,72669
11560,2,2025,45574
11560,3,2025,8374
11560,4,2025,88
11560,5,2025,12686
11560,6,2025,3322
11560,7,2025,177
11590,1,2025,57814
11590,2,2025,29102
11590,3,2025,6189
11590,4,2025,38
11590,5,2025,10328
11590,6,2025,2125
11590,7,2025,125
11620,1,2025,60233
11620,2,2025,35098
11620,3,2025,9299
11620,4,2025,202
11620,5,2025,9124
11620,6,2025,2285
11620,7,2025,95
11650,1,2025,95519
11650,2,2025,46450
11650,3,2025,5995
11650,4,2025,459
11650,5,2025,20017
11650,6,2025,7305
11650,7,2025,229
11680,1,2025,139869
11680,2,2025,60644
11680,3,2025,9176
11680,4,2025,205
11680,5,2025,28459
11680,6,2025,14106
11680,7,2025,260
11710,1,2025,127630
11710,2,2025,68296
11710,3,2025,14756
11710,4,2025,727
11710,5,2025,23990
11710,6,2025,5734
11710,7,2025,239
11740,1,2025,86039
11740,2,2025,47878
11740,3,2025,13058
11740,4,2025,154
11740,5,2025,15971
11740,6,2025,4194
11740,7,2025,262
11110,1,2026,24970
11110,2,2026,15463
11110,3,2026,2043
11110,4,2026,91
11110,5,2026,4982
11110,6,2026,1896
11110,7,2026,98
11140,1,2026,23622
11140,2,2026,15042
11140,3,2026,2513
11140,4,2026,22
11140,5,2026,5323
11140,6,2026,2000
11140,7,2026,69
11170,1,2026,38459
11170,2,2026,18866
11170,3,2026,2825
11170,4,2026,23
11170,5,2026,8505
11170,6,2026,2674
11170,7,2026,84
11200,1,2026,53797
11200,2,2026,28425
11200,3,2026,6221
11200,4,2026,257
11200,5,2026,11415
11200,6,2026,4331
11200,7,2026,83
11215,1,2026,48408
11215,2,2026,27350
11215,3,2026,6951
11215,4,2026,136
11215,5,2026,9591
11215,6,2026,2445
11215,7,2026,63
11230,1,2026,53430
11230,2,2026,31494
11230,3,2026,7710
11230,4,2026,39
11230,5,2026,10703
11230,6,2026,3021
11230,7,2026,74
11260,1,2026,53956
11260,2,2026,35784
11260,3,2026,12273
11260,4,2026,278
11260,5,2026,9150
11260,6,2026,3158
11260,7,2026,70
11290,1,2026,63005
11290,2,2026,34143
11290,3,2026,7916
11290,4,2026,658
11290,5,2026,12431
11290,6,2026,3533
11290,7,2026,73
11305,1,2026,35416
11305,2,2026,21857
11305,3,2026,6726
11305,4,2026,558
11305,5,2026,5747
11305,6,2026,1856
11305,7,2026,38
11320,1,2026,45488
11320,2,2026,27097
11320,3,2026,9879
11320,4,2026,185
11320,5,2026,7549
11320,6,2026,2535
11320,7,2026,58
11350,1,2026,76106
11350,2,2026,40093
11350,3,2026,14010
11350,4,2026,490
11350,5,2026,14061
11350,6,2026,3918
11350,7,2026,89
11380,1,2026,68520
11380,2,2026,36133
11380,3,2026,11004
11380,4,2026,477
11380,5,2026,12432
11380,6,2026,3656
11380,7,2026,130
11410,1,2026,46985
11410,2,2026,24552
11410,3,2026,6442
11410,4,2026,194
11410,5,2026,9634
11410,6,2026,2799
11410,7,2026,106
11440,1,2026,62110
11440,2,2026,33604
11440,3,2026,6415
11440,4,2026,147
11440,5,2026,13225
11440,6,2026,4083
11440,7,2026,196
11470,1,2026,75936
11470,2,2026,40793
11470,3,2026,11853
11470,4,2026,503
11470,5,2026,15173
11470,6,2026,3941
11470,7,2026,137
11500,1,2026,101121
11500,2,2026,57354
11500,3,2026,17134
11500,4,2026,229
11500,5,2026,19503
11500,6,2026,8009
11500,7,2026,272
11530,1,2026,67484
11530,2,2026,43434
11530,3,2026,11111
11530,4,2026,282
11530,5,2026,13159
11530,6,2026,3621
11530,7,2026,103
11545,1,2026,42011
11545,2,2026,29686
11545,3,2026,6656
11545,4,2026,358
11545,5,2026,8406
11545,6,2026,2257
11545,7,2026,77
11560,1,2026,70715
11560,2,2026,42700
11560,3,2026,8351
11560,4,2026,82
11560,5,2026,15013
11560,6,2026,4323
11560,7,2026,172
11590,1,2026,56502
11590,2,2026,27141
11590,3,2026,5986
11590,4,2026,37
11590,5,2026,11979
11590,6,2026,2867
11590,7,2026,120
11620,1,2026,59182
11620,2,2026,32733
11620,3,2026,9136
11620,4,2026,202
11620,5,2026,10780
11620,6,2026,3005
11620,7,2026,109
11650,1,2026,94917
11650,2,2026,43645
11650,3,2026,5810
11650,4,2026,439
11650,5,2026,24281
11650,6,2026,8665
11650,7,2026,200
11680,1,2026,135872
11680,2,2026,56672
11680,3,2026,8743
11680,4,2026,200
11680,5,2026,33054
11680,6,2026,15468
11680,7,2026,254
11710,1,2026,126070
11710,2,2026,64194
11710,3,2026,14568
11710,4,2026,686
11710,5,2026,28729
11710,6,2026,7851
11710,7,2026,228
11740,1,2026,85337
11740,2,2026,45384
11740,3,2026,12712
11740,4,2026,133
11740,5,2026,19285
11740,6,2026,5653
11740,7,2026,253
